"","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Stonestown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2250,2250,2250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2692,2699,2298,NA,2242,2272,2425,2018,NA,2148,2148,2691,2590,2691,2363,2400,2437,2437,2649,2500,2553,2572,2816,NA,2975,3195,3092,2945,NA,3350,3350,3195,3055,3125
"Potrero Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,2695,3250,3495,3550,3250,3180,3600,3600,3399,3180,3250,3250,3475,3700,3300,3200,3250,3250,3595,3500,3900,3750,3750,3700,3460,3900,4150,3890,3795,3950,3950,3795,3200,3200,3600,3945,3800,3945,4400,4250,4700,4400,4200,4160,4000,4495
"North Panhandle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2495,2500,2500,NA,NA,NA,2595,3495,3500,3500,2600,2395,2850,3200,3500,4500,3100,3200,3550,2895,3195,3100,3195,2900,2895,2700,2595,2500,2999,3150,3270,3095,3150,3650,3195,3150,3500,3500,2995,3500,4045,3000,3000,3500,3400,4500,5275,3995,3800,3650,3995,4350
"Haight-Ashbury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,2495,2200,3995,2600,NA,2200,2450,3000,3000,3200,4250,NA,1950,2150,2095,2500,3000,2200,2100,2195,2895,3000,2900,3000,3000,2925,2500,2500,3100,3300,2650,2950,2795,2500,2795,2800,3445,3250,3600,3500,3295,2800,3400,3950,3950,4250,3800,4500,4100,3800,4500
"Mission Terrace",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,2995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ingleside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cow Hollow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3295,4300,NA,2200,NA,NA,2900,NA,2600,NA,NA,3005,3600,3200,2895,3295,3995,3100,3300,5000,5250,4495,4495,3875,4000,4000,4200,4900,3600,3200,4000,3795,3595,3595,3600,3495,3300,4250,4335,4335,4250,3800,3800,3750,5000,5000,5500,4500,4295,4500
"Glen Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,NA,NA,2900,2900,3500,NA,1000,NA,NA,3500,NA,2500,3975,3500,3995,3950,3800,3900,3900,4800,4200,4200,4800,4800,4800,4800,4500,4800
"Telegraph Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3250,NA,NA,NA,NA,NA,3800,3750,3875,3500,NA,NA,3500,3500,3200,2995,3500,3500,3675,3950,3900,3900,3750,3850,3900,3800,3750,4725,4000,3795,3950,4000,3800,3780,3975,3975,4100,3700,4200,4000,3995,4000,4345,3990,4000,4000,4350,4200,4750,4800,4000
"Lake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,NA,NA,NA,2975,3360,2515,2350,2655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,3600,NA,3275,3275,3700,4300,3200,2995,3850,3500,NA,3850,4300,4995,5200,NA,4995,4200,3850,3700,3850
"Lone Mountain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2350,2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2650,3200,2750,NA,2449,2800,NA,NA,NA,NA,NA,3000,3200,NA,3500,NA,3200,4200,NA,NA,NA,NA
"North Beach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3850,3750,3550,2600,3200,3200,2695,3500,3500,3900,3900,3500,NA,2099,NA,4000,3750,4300,4000,4000,3900,4600,3980,4300,3500,3300,2950,2950,4750,3900,4225,4500,4490,4490,4200,3950,4295,4500,4650,NA,NA,6200,4895,4950
"Ingleside Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2350,2499,2475,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinatown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349,NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2100,2950,2950,2950,2017,2850,NA,3695,NA,NA,NA,NA,NA,3595,2750,NA,NA
